LocalTime,Power(MW)
01/01/06 00:00,0.00
01/01/06 01:00,0.00
01/01/06 02:00,0.00
01/01/06 03:00,0.00
01/01/06 04:00,0.00
01/01/06 05:00,0.00
01/01/06 06:00,0.00
01/01/06 07:00,0.00
01/01/06 08:00,0.00
01/01/06 09:00,0.03
01/01/06 10:00,3.25
01/01/06 11:00,3.93
01/01/06 12:00,4.04
01/01/06 13:00,2.61
01/01/06 14:00,3.61
01/01/06 15:00,1.93
01/01/06 16:00,0.77
01/01/06 17:00,0.00
01/01/06 18:00,0.00
01/01/06 19:00,0.00
01/01/06 20:00,0.00
01/01/06 21:00,0.00
01/01/06 22:00,0.00
01/01/06 23:00,0.00
01/02/06 00:00,0.00
01/02/06 01:00,0.00
01/02/06 02:00,0.00
01/02/06 03:00,0.00
01/02/06 04:00,0.00
01/02/06 05:00,0.00
01/02/06 06:00,0.00
01/02/06 07:00,0.00
01/02/06 08:00,0.34
01/02/06 09:00,0.76
01/02/06 10:00,1.35
01/02/06 11:00,1.58
01/02/06 12:00,0.98
01/02/06 13:00,3.46
01/02/06 14:00,1.36
01/02/06 15:00,0.60
01/02/06 16:00,0.10
01/02/06 17:00,0.00
01/02/06 18:00,0.00
01/02/06 19:00,0.00
01/02/06 20:00,0.00
01/02/06 21:00,0.00
01/02/06 22:00,0.00
01/02/06 23:00,0.00
01/03/06 00:00,0.00
01/03/06 01:00,0.00
01/03/06 02:00,0.00
01/03/06 03:00,0.00
01/03/06 04:00,0.00
01/03/06 05:00,0.00
01/03/06 06:00,0.00
01/03/06 07:00,0.00
01/03/06 08:00,0.42
01/03/06 09:00,2.43
01/03/06 10:00,3.81
01/03/06 11:00,4.33
01/03/06 12:00,4.44
01/03/06 13:00,4.30
01/03/06 14:00,3.62
01/03/06 15:00,2.56
01/03/06 16:00,1.03
01/03/06 17:00,0.00
01/03/06 18:00,0.00
01/03/06 19:00,0.00
01/03/06 20:00,0.00
01/03/06 21:00,0.00
01/03/06 22:00,0.00
01/03/06 23:00,0.00
01/04/06 00:00,0.00
01/04/06 01:00,0.00
01/04/06 02:00,0.00
01/04/06 03:00,0.00
01/04/06 04:00,0.00
01/04/06 05:00,0.00
01/04/06 06:00,0.00
01/04/06 07:00,0.00
01/04/06 08:00,0.45
01/04/06 09:00,2.10
01/04/06 10:00,1.97
01/04/06 11:00,2.87
01/04/06 12:00,4.11
01/04/06 13:00,3.91
01/04/06 14:00,2.99
01/04/06 15:00,2.25
01/04/06 16:00,0.92
01/04/06 17:00,0.00
01/04/06 18:00,0.00
01/04/06 19:00,0.00
01/04/06 20:00,0.00
01/04/06 21:00,0.00
01/04/06 22:00,0.00
01/04/06 23:00,0.00
01/05/06 00:00,0.00
01/05/06 01:00,0.00
01/05/06 02:00,0.00
01/05/06 03:00,0.00
01/05/06 04:00,0.00
01/05/06 05:00,0.00
01/05/06 06:00,0.00
01/05/06 07:00,0.00
01/05/06 08:00,0.00
01/05/06 09:00,2.45
01/05/06 10:00,3.72
01/05/06 11:00,4.71
01/05/06 12:00,4.76
01/05/06 13:00,4.29
01/05/06 14:00,3.27
01/05/06 15:00,2.35
01/05/06 16:00,1.17
01/05/06 17:00,0.00
01/05/06 18:00,0.00
01/05/06 19:00,0.00
01/05/06 20:00,0.00
01/05/06 21:00,0.00
01/05/06 22:00,0.00
01/05/06 23:00,0.00
01/06/06 00:00,0.00
01/06/06 01:00,0.00
01/06/06 02:00,0.00
01/06/06 03:00,0.00
01/06/06 04:00,0.00
01/06/06 05:00,0.00
01/06/06 06:00,0.00
01/06/06 07:00,0.00
01/06/06 08:00,0.66
01/06/06 09:00,2.61
01/06/06 10:00,3.98
01/06/06 11:00,4.73
01/06/06 12:00,4.56
01/06/06 13:00,4.27
01/06/06 14:00,3.57
01/06/06 15:00,2.48
01/06/06 16:00,1.18
01/06/06 17:00,0.00
01/06/06 18:00,0.00
01/06/06 19:00,0.00
01/06/06 20:00,0.00
01/06/06 21:00,0.00
01/06/06 22:00,0.00
01/06/06 23:00,0.00
01/07/06 00:00,0.00
01/07/06 01:00,0.00
01/07/06 02:00,0.00
01/07/06 03:00,0.00
01/07/06 04:00,0.00
01/07/06 05:00,0.00
01/07/06 06:00,0.00
01/07/06 07:00,0.00
01/07/06 08:00,0.48
01/07/06 09:00,2.48
01/07/06 10:00,3.69
01/07/06 11:00,4.16
01/07/06 12:00,3.95
01/07/06 13:00,3.63
01/07/06 14:00,3.35
01/07/06 15:00,2.39
01/07/06 16:00,0.96
01/07/06 17:00,0.00
01/07/06 18:00,0.00
01/07/06 19:00,0.00
01/07/06 20:00,0.00
01/07/06 21:00,0.00
01/07/06 22:00,0.00
01/07/06 23:00,0.00
01/08/06 00:00,0.00
01/08/06 01:00,0.00
01/08/06 02:00,0.00
01/08/06 03:00,0.00
01/08/06 04:00,0.00
01/08/06 05:00,0.00
01/08/06 06:00,0.00
01/08/06 07:00,0.00
01/08/06 08:00,0.50
01/08/06 09:00,2.43
01/08/06 10:00,3.75
01/08/06 11:00,4.11
01/08/06 12:00,3.29
01/08/06 13:00,2.89
01/08/06 14:00,3.23
01/08/06 15:00,1.19
01/08/06 16:00,0.79
01/08/06 17:00,0.00
01/08/06 18:00,0.00
01/08/06 19:00,0.00
01/08/06 20:00,0.00
01/08/06 21:00,0.00
01/08/06 22:00,0.00
01/08/06 23:00,0.00
01/09/06 00:00,0.00
01/09/06 01:00,0.00
01/09/06 02:00,0.00
01/09/06 03:00,0.00
01/09/06 04:00,0.00
01/09/06 05:00,0.00
01/09/06 06:00,0.00
01/09/06 07:00,0.00
01/09/06 08:00,0.52
01/09/06 09:00,2.51
01/09/06 10:00,3.89
01/09/06 11:00,4.16
01/09/06 12:00,1.79
01/09/06 13:00,0.55
01/09/06 14:00,0.99
01/09/06 15:00,0.05
01/09/06 16:00,0.01
01/09/06 17:00,0.00
01/09/06 18:00,0.00
01/09/06 19:00,0.00
01/09/06 20:00,0.00
01/09/06 21:00,0.00
01/09/06 22:00,0.00
01/09/06 23:00,0.00
01/10/06 00:00,0.00
01/10/06 01:00,0.00
01/10/06 02:00,0.00
01/10/06 03:00,0.00
01/10/06 04:00,0.00
01/10/06 05:00,0.00
01/10/06 06:00,0.00
01/10/06 07:00,0.00
01/10/06 08:00,0.00
01/10/06 09:00,0.00
01/10/06 10:00,0.01
01/10/06 11:00,1.20
01/10/06 12:00,1.06
01/10/06 13:00,1.00
01/10/06 14:00,1.20
01/10/06 15:00,2.18
01/10/06 16:00,0.99
01/10/06 17:00,0.00
01/10/06 18:00,0.00
01/10/06 19:00,0.00
01/10/06 20:00,0.00
01/10/06 21:00,0.00
01/10/06 22:00,0.00
01/10/06 23:00,0.00
01/11/06 00:00,0.00
01/11/06 01:00,0.00
01/11/06 02:00,0.00
01/11/06 03:00,0.00
01/11/06 04:00,0.00
01/11/06 05:00,0.00
01/11/06 06:00,0.00
01/11/06 07:00,0.00
01/11/06 08:00,0.64
