LocalTime,Power(MW)
01/01/06 00:00,0.00
01/01/06 01:00,0.00
01/01/06 02:00,0.00
01/01/06 03:00,0.00
01/01/06 04:00,0.00
01/01/06 05:00,0.00
01/01/06 06:00,0.00
01/01/06 07:00,0.00
01/01/06 08:00,0.00
01/01/06 09:00,0.08
01/01/06 10:00,0.89
01/01/06 11:00,1.30
01/01/06 12:00,2.11
01/01/06 13:00,2.68
01/01/06 14:00,2.52
01/01/06 15:00,2.20
01/01/06 16:00,1.00
01/01/06 17:00,0.00
01/01/06 18:00,0.00
01/01/06 19:00,0.00
01/01/06 20:00,0.00
01/01/06 21:00,0.00
01/01/06 22:00,0.00
01/01/06 23:00,0.00
01/02/06 00:00,0.00
01/02/06 01:00,0.00
01/02/06 02:00,0.00
01/02/06 03:00,0.00
01/02/06 04:00,0.00
01/02/06 05:00,0.00
01/02/06 06:00,0.00
01/02/06 07:00,0.00
01/02/06 08:00,0.95
01/02/06 09:00,3.11
01/02/06 10:00,4.15
01/02/06 11:00,4.66
01/02/06 12:00,4.50
01/02/06 13:00,4.19
01/02/06 14:00,3.45
01/02/06 15:00,2.32
01/02/06 16:00,1.02
01/02/06 17:00,0.00
01/02/06 18:00,0.00
01/02/06 19:00,0.00
01/02/06 20:00,0.00
01/02/06 21:00,0.00
01/02/06 22:00,0.00
01/02/06 23:00,0.00
01/03/06 00:00,0.00
01/03/06 01:00,0.00
01/03/06 02:00,0.00
01/03/06 03:00,0.00
01/03/06 04:00,0.00
01/03/06 05:00,0.00
01/03/06 06:00,0.00
01/03/06 07:00,0.00
01/03/06 08:00,1.29
01/03/06 09:00,3.03
01/03/06 10:00,4.27
01/03/06 11:00,4.09
01/03/06 12:00,4.46
01/03/06 13:00,4.29
01/03/06 14:00,3.47
01/03/06 15:00,2.46
01/03/06 16:00,1.09
01/03/06 17:00,0.00
01/03/06 18:00,0.00
01/03/06 19:00,0.00
01/03/06 20:00,0.00
01/03/06 21:00,0.00
01/03/06 22:00,0.00
01/03/06 23:00,0.00
01/04/06 00:00,0.00
01/04/06 01:00,0.00
01/04/06 02:00,0.00
01/04/06 03:00,0.00
01/04/06 04:00,0.00
01/04/06 05:00,0.00
01/04/06 06:00,0.00
01/04/06 07:00,0.00
01/04/06 08:00,0.84
01/04/06 09:00,1.68
01/04/06 10:00,3.28
01/04/06 11:00,3.92
01/04/06 12:00,4.50
01/04/06 13:00,3.60
01/04/06 14:00,3.13
01/04/06 15:00,2.50
01/04/06 16:00,1.01
01/04/06 17:00,0.00
01/04/06 18:00,0.00
01/04/06 19:00,0.00
01/04/06 20:00,0.00
01/04/06 21:00,0.00
01/04/06 22:00,0.00
01/04/06 23:00,0.00
01/05/06 00:00,0.00
01/05/06 01:00,0.00
01/05/06 02:00,0.00
01/05/06 03:00,0.00
01/05/06 04:00,0.00
01/05/06 05:00,0.00
01/05/06 06:00,0.00
01/05/06 07:00,0.00
01/05/06 08:00,1.34
01/05/06 09:00,3.09
01/05/06 10:00,4.32
01/05/06 11:00,4.81
01/05/06 12:00,4.77
01/05/06 13:00,4.33
01/05/06 14:00,3.67
01/05/06 15:00,2.46
01/05/06 16:00,1.16
01/05/06 17:00,0.00
01/05/06 18:00,0.00
01/05/06 19:00,0.00
01/05/06 20:00,0.00
01/05/06 21:00,0.00
01/05/06 22:00,0.00
01/05/06 23:00,0.00
01/06/06 00:00,0.00
01/06/06 01:00,0.00
01/06/06 02:00,0.00
01/06/06 03:00,0.00
01/06/06 04:00,0.00
01/06/06 05:00,0.00
01/06/06 06:00,0.00
01/06/06 07:00,0.00
01/06/06 08:00,1.38
01/06/06 09:00,3.26
01/06/06 10:00,4.64
01/06/06 11:00,4.74
01/06/06 12:00,4.61
01/06/06 13:00,4.18
01/06/06 14:00,3.47
01/06/06 15:00,2.50
01/06/06 16:00,1.07
01/06/06 17:00,0.00
01/06/06 18:00,0.00
01/06/06 19:00,0.00
01/06/06 20:00,0.00
01/06/06 21:00,0.00
01/06/06 22:00,0.00
01/06/06 23:00,0.00
01/07/06 00:00,0.00
01/07/06 01:00,0.00
01/07/06 02:00,0.00
01/07/06 03:00,0.00
01/07/06 04:00,0.00
01/07/06 05:00,0.00
01/07/06 06:00,0.00
01/07/06 07:00,0.00
01/07/06 08:00,1.42
01/07/06 09:00,3.17
01/07/06 10:00,4.48
01/07/06 11:00,4.80
01/07/06 12:00,4.48
01/07/06 13:00,4.04
01/07/06 14:00,3.68
01/07/06 15:00,2.50
01/07/06 16:00,1.14
01/07/06 17:00,0.00
01/07/06 18:00,0.00
01/07/06 19:00,0.00
01/07/06 20:00,0.00
01/07/06 21:00,0.00
01/07/06 22:00,0.00
01/07/06 23:00,0.00
01/08/06 00:00,0.00
01/08/06 01:00,0.00
01/08/06 02:00,0.00
01/08/06 03:00,0.00
01/08/06 04:00,0.00
01/08/06 05:00,0.00
01/08/06 06:00,0.00
01/08/06 07:00,0.00
01/08/06 08:00,1.27
01/08/06 09:00,3.02
01/08/06 10:00,4.12
01/08/06 11:00,4.98
01/08/06 12:00,4.23
01/08/06 13:00,3.58
01/08/06 14:00,2.92
01/08/06 15:00,1.88
01/08/06 16:00,1.04
01/08/06 17:00,0.00
01/08/06 18:00,0.00
01/08/06 19:00,0.00
01/08/06 20:00,0.00
01/08/06 21:00,0.00
01/08/06 22:00,0.00
01/08/06 23:00,0.00
01/09/06 00:00,0.00
01/09/06 01:00,0.00
01/09/06 02:00,0.00
01/09/06 03:00,0.00
01/09/06 04:00,0.00
01/09/06 05:00,0.00
01/09/06 06:00,0.00
01/09/06 07:00,0.00
01/09/06 08:00,0.78
01/09/06 09:00,1.78
01/09/06 10:00,3.98
01/09/06 11:00,2.13
01/09/06 12:00,1.51
01/09/06 13:00,1.70
01/09/06 14:00,1.75
01/09/06 15:00,1.97
01/09/06 16:00,1.00
01/09/06 17:00,0.00
01/09/06 18:00,0.00
01/09/06 19:00,0.00
01/09/06 20:00,0.00
01/09/06 21:00,0.00
01/09/06 22:00,0.00
01/09/06 23:00,0.00
01/10/06 00:00,0.00
01/10/06 01:00,0.00
01/10/06 02:00,0.00
01/10/06 03:00,0.00
01/10/06 04:00,0.00
01/10/06 05:00,0.00
01/10/06 06:00,0.00
01/10/06 07:00,0.00
01/10/06 08:00,0.00
01/10/06 09:00,0.84
01/10/06 10:00,3.49
01/10/06 11:00,3.79
01/10/06 12:00,3.20
01/10/06 13:00,2.72
01/10/06 14:00,2.58
01/10/06 15:00,2.23
01/10/06 16:00,1.10
01/10/06 17:00,0.00
01/10/06 18:00,0.00
01/10/06 19:00,0.00
01/10/06 20:00,0.00
01/10/06 21:00,0.00
01/10/06 22:00,0.00
01/10/06 23:00,0.00
01/11/06 00:00,0.00
01/11/06 01:00,0.00
01/11/06 02:00,0.00
01/11/06 03:00,0.00
01/11/06 04:00,0.00
01/11/06 05:00,0.00
01/11/06 06:00,0.00
01/11/06 07:00,0.00
01/11/06 08:00,1.56
