LocalTime,Power(MW)
01/01/06 00:00,0.00
01/01/06 01:00,0.00
01/01/06 02:00,0.00
01/01/06 03:00,0.00
01/01/06 04:00,0.00
01/01/06 05:00,0.00
01/01/06 06:00,0.00
01/01/06 07:00,0.00
01/01/06 08:00,0.00
01/01/06 09:00,0.36
01/01/06 10:00,1.85
01/01/06 11:00,2.29
01/01/06 12:00,2.96
01/01/06 13:00,3.32
01/01/06 14:00,2.46
01/01/06 15:00,1.10
01/01/06 16:00,0.00
01/01/06 17:00,0.00
01/01/06 18:00,0.00
01/01/06 19:00,0.00
01/01/06 20:00,0.00
01/01/06 21:00,0.00
01/01/06 22:00,0.00
01/01/06 23:00,0.00
01/02/06 00:00,0.00
01/02/06 01:00,0.00
01/02/06 02:00,0.00
01/02/06 03:00,0.00
01/02/06 04:00,0.00
01/02/06 05:00,0.00
01/02/06 06:00,0.00
01/02/06 07:00,0.00
01/02/06 08:00,0.52
01/02/06 09:00,2.29
01/02/06 10:00,3.62
01/02/06 11:00,3.33
01/02/06 12:00,3.34
01/02/06 13:00,2.11
01/02/06 14:00,1.19
01/02/06 15:00,0.35
01/02/06 16:00,0.00
01/02/06 17:00,0.00
01/02/06 18:00,0.00
01/02/06 19:00,0.00
01/02/06 20:00,0.00
01/02/06 21:00,0.00
01/02/06 22:00,0.00
01/02/06 23:00,0.00
01/03/06 00:00,0.00
01/03/06 01:00,0.00
01/03/06 02:00,0.00
01/03/06 03:00,0.00
01/03/06 04:00,0.00
01/03/06 05:00,0.00
01/03/06 06:00,0.00
01/03/06 07:00,0.00
01/03/06 08:00,0.00
01/03/06 09:00,0.00
01/03/06 10:00,0.06
01/03/06 11:00,0.20
01/03/06 12:00,0.39
01/03/06 13:00,0.39
01/03/06 14:00,0.31
01/03/06 15:00,0.03
01/03/06 16:00,0.00
01/03/06 17:00,0.00
01/03/06 18:00,0.00
01/03/06 19:00,0.00
01/03/06 20:00,0.00
01/03/06 21:00,0.00
01/03/06 22:00,0.00
01/03/06 23:00,0.00
01/04/06 00:00,0.00
01/04/06 01:00,0.00
01/04/06 02:00,0.00
01/04/06 03:00,0.00
01/04/06 04:00,0.00
01/04/06 05:00,0.00
01/04/06 06:00,0.00
01/04/06 07:00,0.00
01/04/06 08:00,0.50
01/04/06 09:00,3.06
01/04/06 10:00,3.35
01/04/06 11:00,3.54
01/04/06 12:00,4.36
01/04/06 13:00,4.08
01/04/06 14:00,2.67
01/04/06 15:00,1.14
01/04/06 16:00,0.00
01/04/06 17:00,0.00
01/04/06 18:00,0.00
01/04/06 19:00,0.00
01/04/06 20:00,0.00
01/04/06 21:00,0.00
01/04/06 22:00,0.00
01/04/06 23:00,0.00
01/05/06 00:00,0.00
01/05/06 01:00,0.00
01/05/06 02:00,0.00
01/05/06 03:00,0.00
01/05/06 04:00,0.00
01/05/06 05:00,0.00
01/05/06 06:00,0.00
01/05/06 07:00,0.00
01/05/06 08:00,0.00
01/05/06 09:00,0.00
01/05/06 10:00,0.01
01/05/06 11:00,1.49
01/05/06 12:00,1.92
01/05/06 13:00,3.50
01/05/06 14:00,2.44
01/05/06 15:00,1.82
01/05/06 16:00,0.00
01/05/06 17:00,0.00
01/05/06 18:00,0.00
01/05/06 19:00,0.00
01/05/06 20:00,0.00
01/05/06 21:00,0.00
01/05/06 22:00,0.00
01/05/06 23:00,0.00
01/06/06 00:00,0.00
01/06/06 01:00,0.00
01/06/06 02:00,0.00
01/06/06 03:00,0.00
01/06/06 04:00,0.00
01/06/06 05:00,0.00
01/06/06 06:00,0.00
01/06/06 07:00,0.00
01/06/06 08:00,0.98
01/06/06 09:00,2.96
01/06/06 10:00,3.90
01/06/06 11:00,3.67
01/06/06 12:00,3.60
01/06/06 13:00,2.45
01/06/06 14:00,2.63
01/06/06 15:00,0.94
01/06/06 16:00,0.00
01/06/06 17:00,0.00
01/06/06 18:00,0.00
01/06/06 19:00,0.00
01/06/06 20:00,0.00
01/06/06 21:00,0.00
01/06/06 22:00,0.00
01/06/06 23:00,0.00
01/07/06 00:00,0.00
01/07/06 01:00,0.00
01/07/06 02:00,0.00
01/07/06 03:00,0.00
01/07/06 04:00,0.00
01/07/06 05:00,0.00
01/07/06 06:00,0.00
01/07/06 07:00,0.00
01/07/06 08:00,1.15
01/07/06 09:00,3.70
01/07/06 10:00,5.04
01/07/06 11:00,5.14
01/07/06 12:00,5.00
01/07/06 13:00,4.58
01/07/06 14:00,3.66
01/07/06 15:00,2.08
01/07/06 16:00,0.07
01/07/06 17:00,0.00
01/07/06 18:00,0.00
01/07/06 19:00,0.00
01/07/06 20:00,0.00
01/07/06 21:00,0.00
01/07/06 22:00,0.00
01/07/06 23:00,0.00
01/08/06 00:00,0.00
01/08/06 01:00,0.00
01/08/06 02:00,0.00
01/08/06 03:00,0.00
01/08/06 04:00,0.00
01/08/06 05:00,0.00
01/08/06 06:00,0.00
01/08/06 07:00,0.00
01/08/06 08:00,0.00
01/08/06 09:00,1.54
01/08/06 10:00,2.28
01/08/06 11:00,2.20
01/08/06 12:00,3.95
01/08/06 13:00,3.44
01/08/06 14:00,2.49
01/08/06 15:00,1.43
01/08/06 16:00,0.06
01/08/06 17:00,0.00
01/08/06 18:00,0.00
01/08/06 19:00,0.00
01/08/06 20:00,0.00
01/08/06 21:00,0.00
01/08/06 22:00,0.00
01/08/06 23:00,0.00
01/09/06 00:00,0.00
01/09/06 01:00,0.00
01/09/06 02:00,0.00
01/09/06 03:00,0.00
01/09/06 04:00,0.00
01/09/06 05:00,0.00
01/09/06 06:00,0.00
01/09/06 07:00,0.00
01/09/06 08:00,0.00
01/09/06 09:00,0.07
01/09/06 10:00,1.06
01/09/06 11:00,1.58
01/09/06 12:00,3.12
01/09/06 13:00,2.89
01/09/06 14:00,2.42
01/09/06 15:00,1.42
01/09/06 16:00,0.01
01/09/06 17:00,0.00
01/09/06 18:00,0.00
01/09/06 19:00,0.00
01/09/06 20:00,0.00
01/09/06 21:00,0.00
01/09/06 22:00,0.00
01/09/06 23:00,0.00
01/10/06 00:00,0.00
01/10/06 01:00,0.00
01/10/06 02:00,0.00
01/10/06 03:00,0.00
01/10/06 04:00,0.00
01/10/06 05:00,0.00
01/10/06 06:00,0.00
01/10/06 07:00,0.00
01/10/06 08:00,1.17
01/10/06 09:00,3.13
01/10/06 10:00,4.36
01/10/06 11:00,4.66
01/10/06 12:00,4.04
01/10/06 13:00,4.27
01/10/06 14:00,3.71
01/10/06 15:00,2.17
01/10/06 16:00,0.09
01/10/06 17:00,0.00
01/10/06 18:00,0.00
01/10/06 19:00,0.00
01/10/06 20:00,0.00
01/10/06 21:00,0.00
01/10/06 22:00,0.00
01/10/06 23:00,0.00
01/11/06 00:00,0.00
01/11/06 01:00,0.00
01/11/06 02:00,0.00
01/11/06 03:00,0.00
01/11/06 04:00,0.00
01/11/06 05:00,0.00
01/11/06 06:00,0.00
01/11/06 07:00,0.00
01/11/06 08:00,0.00
