LocalTime,Power(MW)
01/01/06 00:00,0.00
01/01/06 01:00,0.00
01/01/06 02:00,0.00
01/01/06 03:00,0.00
01/01/06 04:00,0.00
01/01/06 05:00,0.00
01/01/06 06:00,0.00
01/01/06 07:00,0.00
01/01/06 08:00,0.03
01/01/06 09:00,0.53
01/01/06 10:00,0.75
01/01/06 11:00,1.94
01/01/06 12:00,3.60
01/01/06 13:00,4.21
01/01/06 14:00,3.50
01/01/06 15:00,1.92
01/01/06 16:00,1.09
01/01/06 17:00,0.00
01/01/06 18:00,0.00
01/01/06 19:00,0.00
01/01/06 20:00,0.00
01/01/06 21:00,0.00
01/01/06 22:00,0.00
01/01/06 23:00,0.00
01/02/06 00:00,0.00
01/02/06 01:00,0.00
01/02/06 02:00,0.00
01/02/06 03:00,0.00
01/02/06 04:00,0.00
01/02/06 05:00,0.00
01/02/06 06:00,0.00
01/02/06 07:00,0.00
01/02/06 08:00,0.00
01/02/06 09:00,0.02
01/02/06 10:00,0.13
01/02/06 11:00,2.89
01/02/06 12:00,2.33
01/02/06 13:00,1.45
01/02/06 14:00,1.35
01/02/06 15:00,1.86
01/02/06 16:00,1.19
01/02/06 17:00,0.00
01/02/06 18:00,0.00
01/02/06 19:00,0.00
01/02/06 20:00,0.00
01/02/06 21:00,0.00
01/02/06 22:00,0.00
01/02/06 23:00,0.00
01/03/06 00:00,0.00
01/03/06 01:00,0.00
01/03/06 02:00,0.00
01/03/06 03:00,0.00
01/03/06 04:00,0.00
01/03/06 05:00,0.00
01/03/06 06:00,0.00
01/03/06 07:00,0.00
01/03/06 08:00,0.05
01/03/06 09:00,2.04
01/03/06 10:00,3.36
01/03/06 11:00,4.38
01/03/06 12:00,4.14
01/03/06 13:00,4.05
01/03/06 14:00,3.77
01/03/06 15:00,2.58
01/03/06 16:00,1.15
01/03/06 17:00,0.00
01/03/06 18:00,0.00
01/03/06 19:00,0.00
01/03/06 20:00,0.00
01/03/06 21:00,0.00
01/03/06 22:00,0.00
01/03/06 23:00,0.00
01/04/06 00:00,0.00
01/04/06 01:00,0.00
01/04/06 02:00,0.00
01/04/06 03:00,0.00
01/04/06 04:00,0.00
01/04/06 05:00,0.00
01/04/06 06:00,0.00
01/04/06 07:00,0.00
01/04/06 08:00,0.05
01/04/06 09:00,2.14
01/04/06 10:00,3.33
01/04/06 11:00,4.26
01/04/06 12:00,4.72
01/04/06 13:00,3.86
01/04/06 14:00,3.76
01/04/06 15:00,2.42
01/04/06 16:00,1.18
01/04/06 17:00,0.00
01/04/06 18:00,0.00
01/04/06 19:00,0.00
01/04/06 20:00,0.00
01/04/06 21:00,0.00
01/04/06 22:00,0.00
01/04/06 23:00,0.00
01/05/06 00:00,0.00
01/05/06 01:00,0.00
01/05/06 02:00,0.00
01/05/06 03:00,0.00
01/05/06 04:00,0.00
01/05/06 05:00,0.00
01/05/06 06:00,0.00
01/05/06 07:00,0.00
01/05/06 08:00,0.07
01/05/06 09:00,2.23
01/05/06 10:00,3.39
01/05/06 11:00,4.22
01/05/06 12:00,4.51
01/05/06 13:00,3.93
01/05/06 14:00,3.68
01/05/06 15:00,2.77
01/05/06 16:00,1.12
01/05/06 17:00,0.00
01/05/06 18:00,0.00
01/05/06 19:00,0.00
01/05/06 20:00,0.00
01/05/06 21:00,0.00
01/05/06 22:00,0.00
01/05/06 23:00,0.00
01/06/06 00:00,0.00
01/06/06 01:00,0.00
01/06/06 02:00,0.00
01/06/06 03:00,0.00
01/06/06 04:00,0.00
01/06/06 05:00,0.00
01/06/06 06:00,0.00
01/06/06 07:00,0.00
01/06/06 08:00,0.10
01/06/06 09:00,2.17
01/06/06 10:00,3.13
01/06/06 11:00,3.56
01/06/06 12:00,3.93
01/06/06 13:00,3.94
01/06/06 14:00,3.40
01/06/06 15:00,2.43
01/06/06 16:00,1.26
01/06/06 17:00,0.00
01/06/06 18:00,0.00
01/06/06 19:00,0.00
01/06/06 20:00,0.00
01/06/06 21:00,0.00
01/06/06 22:00,0.00
01/06/06 23:00,0.00
01/07/06 00:00,0.00
01/07/06 01:00,0.00
01/07/06 02:00,0.00
01/07/06 03:00,0.00
01/07/06 04:00,0.00
01/07/06 05:00,0.00
01/07/06 06:00,0.00
01/07/06 07:00,0.00
01/07/06 08:00,0.07
01/07/06 09:00,2.20
01/07/06 10:00,3.18
01/07/06 11:00,3.66
01/07/06 12:00,3.40
01/07/06 13:00,3.58
01/07/06 14:00,2.93
01/07/06 15:00,2.02
01/07/06 16:00,1.03
01/07/06 17:00,0.00
01/07/06 18:00,0.00
01/07/06 19:00,0.00
01/07/06 20:00,0.00
01/07/06 21:00,0.00
01/07/06 22:00,0.00
01/07/06 23:00,0.00
01/08/06 00:00,0.00
01/08/06 01:00,0.00
01/08/06 02:00,0.00
01/08/06 03:00,0.00
01/08/06 04:00,0.00
01/08/06 05:00,0.00
01/08/06 06:00,0.00
01/08/06 07:00,0.00
01/08/06 08:00,0.07
01/08/06 09:00,0.97
01/08/06 10:00,3.55
01/08/06 11:00,3.46
01/08/06 12:00,3.41
01/08/06 13:00,2.27
01/08/06 14:00,1.75
01/08/06 15:00,1.69
01/08/06 16:00,0.99
01/08/06 17:00,0.00
01/08/06 18:00,0.00
01/08/06 19:00,0.00
01/08/06 20:00,0.00
01/08/06 21:00,0.00
01/08/06 22:00,0.00
01/08/06 23:00,0.00
01/09/06 00:00,0.00
01/09/06 01:00,0.00
01/09/06 02:00,0.00
01/09/06 03:00,0.00
01/09/06 04:00,0.00
01/09/06 05:00,0.00
01/09/06 06:00,0.00
01/09/06 07:00,0.00
01/09/06 08:00,0.08
01/09/06 09:00,2.40
01/09/06 10:00,3.39
01/09/06 11:00,3.69
01/09/06 12:00,4.07
01/09/06 13:00,4.01
01/09/06 14:00,3.42
01/09/06 15:00,2.52
01/09/06 16:00,1.04
01/09/06 17:00,0.00
01/09/06 18:00,0.00
01/09/06 19:00,0.00
01/09/06 20:00,0.00
01/09/06 21:00,0.00
01/09/06 22:00,0.00
01/09/06 23:00,0.00
01/10/06 00:00,0.00
01/10/06 01:00,0.00
01/10/06 02:00,0.00
01/10/06 03:00,0.00
01/10/06 04:00,0.00
01/10/06 05:00,0.00
01/10/06 06:00,0.00
01/10/06 07:00,0.00
01/10/06 08:00,0.00
01/10/06 09:00,0.02
01/10/06 10:00,0.07
01/10/06 11:00,0.47
01/10/06 12:00,2.02
01/10/06 13:00,1.85
01/10/06 14:00,1.86
01/10/06 15:00,0.22
01/10/06 16:00,0.05
01/10/06 17:00,0.00
01/10/06 18:00,0.00
01/10/06 19:00,0.00
01/10/06 20:00,0.00
01/10/06 21:00,0.00
01/10/06 22:00,0.00
01/10/06 23:00,0.00
01/11/06 00:00,0.00
01/11/06 01:00,0.00
01/11/06 02:00,0.00
01/11/06 03:00,0.00
01/11/06 04:00,0.00
01/11/06 05:00,0.00
01/11/06 06:00,0.00
01/11/06 07:00,0.00
01/11/06 08:00,0.11
