LocalTime,Power(MW)
01/01/06 00:00,0.00
01/01/06 01:00,0.00
01/01/06 02:00,0.00
01/01/06 03:00,0.00
01/01/06 04:00,0.00
01/01/06 05:00,0.00
01/01/06 06:00,0.00
01/01/06 07:00,0.00
01/01/06 08:00,0.05
01/01/06 09:00,1.48
01/01/06 10:00,1.16
01/01/06 11:00,0.95
01/01/06 12:00,1.51
01/01/06 13:00,1.65
01/01/06 14:00,2.59
01/01/06 15:00,1.09
01/01/06 16:00,0.69
01/01/06 17:00,0.00
01/01/06 18:00,0.00
01/01/06 19:00,0.00
01/01/06 20:00,0.00
01/01/06 21:00,0.00
01/01/06 22:00,0.00
01/01/06 23:00,0.00
01/02/06 00:00,0.00
01/02/06 01:00,0.00
01/02/06 02:00,0.00
01/02/06 03:00,0.00
01/02/06 04:00,0.00
01/02/06 05:00,0.00
01/02/06 06:00,0.00
01/02/06 07:00,0.00
01/02/06 08:00,0.00
01/02/06 09:00,0.04
01/02/06 10:00,0.59
01/02/06 11:00,1.32
01/02/06 12:00,2.86
01/02/06 13:00,2.41
01/02/06 14:00,2.97
01/02/06 15:00,1.99
01/02/06 16:00,0.82
01/02/06 17:00,0.00
01/02/06 18:00,0.00
01/02/06 19:00,0.00
01/02/06 20:00,0.00
01/02/06 21:00,0.00
01/02/06 22:00,0.00
01/02/06 23:00,0.00
01/03/06 00:00,0.00
01/03/06 01:00,0.00
01/03/06 02:00,0.00
01/03/06 03:00,0.00
01/03/06 04:00,0.00
01/03/06 05:00,0.00
01/03/06 06:00,0.00
01/03/06 07:00,0.00
01/03/06 08:00,0.02
01/03/06 09:00,1.61
01/03/06 10:00,2.50
01/03/06 11:00,3.05
01/03/06 12:00,3.23
01/03/06 13:00,3.30
01/03/06 14:00,2.65
01/03/06 15:00,1.90
01/03/06 16:00,0.90
01/03/06 17:00,0.00
01/03/06 18:00,0.00
01/03/06 19:00,0.00
01/03/06 20:00,0.00
01/03/06 21:00,0.00
01/03/06 22:00,0.00
01/03/06 23:00,0.00
01/04/06 00:00,0.00
01/04/06 01:00,0.00
01/04/06 02:00,0.00
01/04/06 03:00,0.00
01/04/06 04:00,0.00
01/04/06 05:00,0.00
01/04/06 06:00,0.00
01/04/06 07:00,0.00
01/04/06 08:00,0.06
01/04/06 09:00,1.71
01/04/06 10:00,2.52
01/04/06 11:00,3.36
01/04/06 12:00,3.55
01/04/06 13:00,3.17
01/04/06 14:00,2.71
01/04/06 15:00,1.98
01/04/06 16:00,0.95
01/04/06 17:00,0.00
01/04/06 18:00,0.00
01/04/06 19:00,0.00
01/04/06 20:00,0.00
01/04/06 21:00,0.00
01/04/06 22:00,0.00
01/04/06 23:00,0.00
01/05/06 00:00,0.00
01/05/06 01:00,0.00
01/05/06 02:00,0.00
01/05/06 03:00,0.00
01/05/06 04:00,0.00
01/05/06 05:00,0.00
01/05/06 06:00,0.00
01/05/06 07:00,0.00
01/05/06 08:00,0.00
01/05/06 09:00,1.71
01/05/06 10:00,2.68
01/05/06 11:00,3.30
01/05/06 12:00,3.19
01/05/06 13:00,3.52
01/05/06 14:00,3.02
01/05/06 15:00,1.98
01/05/06 16:00,0.91
01/05/06 17:00,0.00
01/05/06 18:00,0.00
01/05/06 19:00,0.00
01/05/06 20:00,0.00
01/05/06 21:00,0.00
01/05/06 22:00,0.00
01/05/06 23:00,0.00
01/06/06 00:00,0.00
01/06/06 01:00,0.00
01/06/06 02:00,0.00
01/06/06 03:00,0.00
01/06/06 04:00,0.00
01/06/06 05:00,0.00
01/06/06 06:00,0.00
01/06/06 07:00,0.00
01/06/06 08:00,0.10
01/06/06 09:00,1.69
01/06/06 10:00,2.44
01/06/06 11:00,2.81
01/06/06 12:00,3.15
01/06/06 13:00,3.22
01/06/06 14:00,2.56
01/06/06 15:00,1.98
01/06/06 16:00,0.99
01/06/06 17:00,0.00
01/06/06 18:00,0.00
01/06/06 19:00,0.00
01/06/06 20:00,0.00
01/06/06 21:00,0.00
01/06/06 22:00,0.00
01/06/06 23:00,0.00
01/07/06 00:00,0.00
01/07/06 01:00,0.00
01/07/06 02:00,0.00
01/07/06 03:00,0.00
01/07/06 04:00,0.00
01/07/06 05:00,0.00
01/07/06 06:00,0.00
01/07/06 07:00,0.00
01/07/06 08:00,0.08
01/07/06 09:00,1.70
01/07/06 10:00,2.61
01/07/06 11:00,3.25
01/07/06 12:00,3.53
01/07/06 13:00,3.02
01/07/06 14:00,2.39
01/07/06 15:00,1.57
01/07/06 16:00,0.83
01/07/06 17:00,0.00
01/07/06 18:00,0.00
01/07/06 19:00,0.00
01/07/06 20:00,0.00
01/07/06 21:00,0.00
01/07/06 22:00,0.00
01/07/06 23:00,0.00
01/08/06 00:00,0.00
01/08/06 01:00,0.00
01/08/06 02:00,0.00
01/08/06 03:00,0.00
01/08/06 04:00,0.00
01/08/06 05:00,0.00
01/08/06 06:00,0.00
01/08/06 07:00,0.00
01/08/06 08:00,0.07
01/08/06 09:00,1.56
01/08/06 10:00,1.62
01/08/06 11:00,2.68
01/08/06 12:00,2.76
01/08/06 13:00,2.06
01/08/06 14:00,2.23
01/08/06 15:00,1.56
01/08/06 16:00,0.61
01/08/06 17:00,0.00
01/08/06 18:00,0.00
01/08/06 19:00,0.00
01/08/06 20:00,0.00
01/08/06 21:00,0.00
01/08/06 22:00,0.00
01/08/06 23:00,0.00
01/09/06 00:00,0.00
01/09/06 01:00,0.00
01/09/06 02:00,0.00
01/09/06 03:00,0.00
01/09/06 04:00,0.00
01/09/06 05:00,0.00
01/09/06 06:00,0.00
01/09/06 07:00,0.00
01/09/06 08:00,0.09
01/09/06 09:00,1.71
01/09/06 10:00,2.80
01/09/06 11:00,3.44
01/09/06 12:00,3.49
01/09/06 13:00,3.24
01/09/06 14:00,2.56
01/09/06 15:00,0.02
01/09/06 16:00,0.01
01/09/06 17:00,0.00
01/09/06 18:00,0.00
01/09/06 19:00,0.00
01/09/06 20:00,0.00
01/09/06 21:00,0.00
01/09/06 22:00,0.00
01/09/06 23:00,0.00
01/10/06 00:00,0.00
01/10/06 01:00,0.00
01/10/06 02:00,0.00
01/10/06 03:00,0.00
01/10/06 04:00,0.00
01/10/06 05:00,0.00
01/10/06 06:00,0.00
01/10/06 07:00,0.00
01/10/06 08:00,0.00
01/10/06 09:00,0.13
01/10/06 10:00,0.86
01/10/06 11:00,0.97
01/10/06 12:00,1.46
01/10/06 13:00,1.12
01/10/06 14:00,0.74
01/10/06 15:00,0.08
01/10/06 16:00,0.03
01/10/06 17:00,0.00
01/10/06 18:00,0.00
01/10/06 19:00,0.00
01/10/06 20:00,0.00
01/10/06 21:00,0.00
01/10/06 22:00,0.00
01/10/06 23:00,0.00
01/11/06 00:00,0.00
01/11/06 01:00,0.00
01/11/06 02:00,0.00
01/11/06 03:00,0.00
01/11/06 04:00,0.00
01/11/06 05:00,0.00
01/11/06 06:00,0.00
01/11/06 07:00,0.00
01/11/06 08:00,0.14
