LocalTime,Power(MW)
01/01/06 00:00,0.0
01/01/06 01:00,0.0
01/01/06 02:00,0.0
01/01/06 03:00,0.0
01/01/06 04:00,0.0
01/01/06 05:00,0.0
01/01/06 06:00,0.0
01/01/06 07:00,0.0
01/01/06 08:00,16.1
01/01/06 09:00,14.4
01/01/06 10:00,79.0
01/01/06 11:00,77.8
01/01/06 12:00,93.6
01/01/06 13:00,91.0
01/01/06 14:00,82.3
01/01/06 15:00,57.5
01/01/06 16:00,31.0
01/01/06 17:00,0.0
01/01/06 18:00,0.0
01/01/06 19:00,0.0
01/01/06 20:00,0.0
01/01/06 21:00,0.0
01/01/06 22:00,0.0
01/01/06 23:00,0.0
01/02/06 00:00,0.0
01/02/06 01:00,0.0
01/02/06 02:00,0.0
01/02/06 03:00,0.0
01/02/06 04:00,0.0
01/02/06 05:00,0.0
01/02/06 06:00,0.0
01/02/06 07:00,0.0
01/02/06 08:00,0.0
01/02/06 09:00,0.1
01/02/06 10:00,1.6
01/02/06 11:00,21.5
01/02/06 12:00,59.7
01/02/06 13:00,17.9
01/02/06 14:00,0.7
01/02/06 15:00,17.4
01/02/06 16:00,2.6
01/02/06 17:00,0.0
01/02/06 18:00,0.0
01/02/06 19:00,0.0
01/02/06 20:00,0.0
01/02/06 21:00,0.0
01/02/06 22:00,0.0
01/02/06 23:00,0.0
01/03/06 00:00,0.0
01/03/06 01:00,0.0
01/03/06 02:00,0.0
01/03/06 03:00,0.0
01/03/06 04:00,0.0
01/03/06 05:00,0.0
01/03/06 06:00,0.0
01/03/06 07:00,0.0
01/03/06 08:00,15.2
01/03/06 09:00,56.0
01/03/06 10:00,76.4
01/03/06 11:00,87.5
01/03/06 12:00,96.2
01/03/06 13:00,90.6
01/03/06 14:00,71.3
01/03/06 15:00,53.1
01/03/06 16:00,29.9
01/03/06 17:00,0.0
01/03/06 18:00,0.0
01/03/06 19:00,0.0
01/03/06 20:00,0.0
01/03/06 21:00,0.0
01/03/06 22:00,0.0
01/03/06 23:00,0.0
01/04/06 00:00,0.0
01/04/06 01:00,0.0
01/04/06 02:00,0.0
01/04/06 03:00,0.0
01/04/06 04:00,0.0
01/04/06 05:00,0.0
01/04/06 06:00,0.0
01/04/06 07:00,0.0
01/04/06 08:00,15.7
01/04/06 09:00,56.8
01/04/06 10:00,81.4
01/04/06 11:00,99.8
01/04/06 12:00,101.2
01/04/06 13:00,94.1
01/04/06 14:00,88.0
01/04/06 15:00,59.3
01/04/06 16:00,32.9
01/04/06 17:00,0.0
01/04/06 18:00,0.0
01/04/06 19:00,0.0
